Año,Kilómetros,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Nafta/GNC,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0,hibrido,Precio
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30526.315789473683
2020,40460,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,43500.0
2007,213000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19500.0
2023,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,36555.02392344498
2023,1500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,102000.0
2012,179000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24900.0
2017,160000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33492.82296650718
2013,136000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,17500.0
2019,206000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33900.0
2024,500,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,36000.0
2018,11111,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,38000.0
2022,36000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,29000.0
2017,181000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31499.0
2017,147000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34000.0
2023,15500,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,39999.0
2022,13000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55000.0
2016,80000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34449.76076555024
2023,10700,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38181.81818181818
2022,13000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,65000.0
2022,30000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,36000.0
2015,150000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27000.0
2005,235000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16000.0
2014,115900,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,17900.0
2023,1100,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,34928.22966507177
2014,115000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,22966.50717703349
2019,87000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37500.0
2017,61000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,24210.52631578948
2017,216000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34000.0
2012,170000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,13500.0
2017,145000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34510.0
2018,103000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37000.0
2020,37500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44000.0
2023,11111,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40500.0
2019,73000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39500.0
2015,127000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,22000.0
2024,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,36900.0
2022,40000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50000.0
2000,400000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14354.066985645934
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58181.81818181818
2013,150000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25837.32057416268
2015,210000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,25000.0
2023,15000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59500.0
2009,274000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21500.0
2009,156000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12000.0
2018,96000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38000.0
2023,2000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,33900.0
2016,150000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34800.0
2018,121000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31500.0
2024,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,27070.105263157893
2021,70000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,41148.32535885168
2021,30000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31000.0
2021,47000,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47000.0
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,12398.086124401914
2017,140000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34500.0
2021,53000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44000.0
2023,5000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58000.0
2023,4600,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30622.00956937799
2019,1900,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50000.0
2002,400000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17000.0
2012,190000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,13500.0
2023,2023,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57000.0
2020,38000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43540.66985645933
2022,90000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,48000.0
2022,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31483.253588516745
2021,56000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45500.0
2016,82700,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,35000.0
