,Año,Kilómetros,Precio,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0
173,2021,41085,44976.07655502392,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
174,2021,14574,50277.511961722485,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
175,2021,23500,33500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
176,2021,115000,43062.2009569378,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
177,2023,10000,31100.47846889952,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
178,2022,18000,33500.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
179,2023,6800,36000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
180,2024,0,29747.36842105263,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
181,2023,0,28602.87081339713,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
182,2023,0,29747.36842105263,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
183,2022,32000,54000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
184,2022,1000,31482.296650717704,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
185,2022,28000,32499.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
186,2018,70000,27800.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
187,2022,27500,57750.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
188,2018,88000,24100.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
189,2021,14000,55000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
190,2022,38000,30000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
191,2024,111111,34928.22966507177,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
192,2023,14000,53900.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
193,2020,84000,50000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
194,2019,42000,41000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
195,2008,210000,18900.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
196,2016,91700,37800.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
197,2013,178000,26500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
198,2019,93000,38500.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
199,2007,170000,22000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
200,2024,1000,38000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
201,2023,0,37799.04306220096,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
202,2013,195000,27000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
203,2021,49000,25837.32057416268,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
